state,store_type,family,sales
Pichincha,A,GROCERY I,8593.03
Tungurahua,A,GROCERY I,6031.52
Pichincha,A,BEVERAGES,5855.82
Pichincha,B,GROCERY I,4534.37
Pichincha,D,GROCERY I,4330.62
El Oro,C,GROCERY I,4323.82
Azuay,B,GROCERY I,4286.22
Loja,D,GROCERY I,3769.05
Pichincha,A,PRODUCE,3727.87
Pichincha,D,BEVERAGES,3304.83
Tungurahua,A,BEVERAGES,3232.23
Pichincha,C,GROCERY I,3150.79
El Oro,D,GROCERY I,2916.78
Pichincha,D,PRODUCE,2562.85
Azuay,D,GROCERY I,2523.05
Pichincha,B,BEVERAGES,2432.64
El Oro,C,BEVERAGES,2314.98
Azuay,B,BEVERAGES,2279.77
Pichincha,A,CLEANING,2255.84
Tungurahua,D,GROCERY I,1987.95
Pichincha,A,DAIRY,1863.53
Loja,D,BEVERAGES,1829.59
Pichincha,C,BEVERAGES,1655.13
Tungurahua,A,CLEANING,1606.28
Azuay,D,BEVERAGES,1605.35
El Oro,D,BEVERAGES,1530.11
Azuay,D,PRODUCE,1478.69
Tungurahua,A,PRODUCE,1451.46
Loja,D,PRODUCE,1433.6
El Oro,C,CLEANING,1379.39
Azuay,B,CLEANING,1295.56
Pichincha,B,CLEANING,1244.84
Tungurahua,D,BEVERAGES,1176.93
El Oro,D,PRODUCE,1164.97
Pichincha,D,CLEANING,1158.55
Pichincha,D,DAIRY,1131.31
Pichincha,A,POULTRY,1074.14
Loja,D,CLEANING,1071.71
Azuay,B,PRODUCE,1067.29
Pichincha,A,BREAD/BAKERY,1025.84
Tungurahua,A,DAIRY,1007.89
Pichincha,A,MEATS,990.57
Pichincha,C,CLEANING,926.19
El Oro,D,CLEANING,868.13
Loja,D,DAIRY,816.08
Tungurahua,D,PRODUCE,793.57
Pichincha,B,PRODUCE,788.06
Azuay,B,BREAD/BAKERY,722.31
Azuay,D,CLEANING,708.79
El Oro,C,PRODUCE,674.16
Tungurahua,D,MEATS,654.31
Azuay,D,DAIRY,629.11
Pichincha,D,BREAD/BAKERY,627.07
Pichincha,A,PERSONAL CARE,624.51
Pichincha,A,DELI,619.12
Tungurahua,A,MEATS,615.87
Pichincha,D,POULTRY,598.4
Tungurahua,A,BREAD/BAKERY,578.91
Tungurahua,D,CLEANING,573.94
El Oro,D,DAIRY,557.19
Pichincha,B,DAIRY,537.14
Loja,D,BREAD/BAKERY,533.95
Pichincha,B,BREAD/BAKERY,522.98
Azuay,B,DAIRY,515.7
Pichincha,D,MEATS,505.02
Tungurahua,A,PERSONAL CARE,490.77
El Oro,C,DAIRY,467.22
Tungurahua,D,DAIRY,465.94
Tungurahua,A,DELI,459.82
Pichincha,A,FROZEN FOODS,457.43
Pichincha,C,PRODUCE,451.64
Tungurahua,A,POULTRY,438.23
El Oro,D,BREAD/BAKERY,418.1
Pichincha,C,DAIRY,399.3
Pichincha,A,HOME CARE,390.08
Azuay,D,BREAD/BAKERY,387.84
Pichincha,B,DELI,387.44
Azuay,B,EGGS,384.9
El Oro,C,BREAD/BAKERY,363.69
Pichincha,A,EGGS,362.05
Loja,D,PERSONAL CARE,359.17
Pichincha,B,POULTRY,348.62
Pichincha,C,DELI,337.27
Pichincha,B,MEATS,314.6
Azuay,B,PERSONAL CARE,308.73
Pichincha,B,PERSONAL CARE,300.64
Tungurahua,D,POULTRY,296.57
El Oro,C,PERSONAL CARE,285.03
Pichincha,D,PERSONAL CARE,284.43
Pichincha,A,PREPARED FOODS,281.45
Tungurahua,D,BREAD/BAKERY,274.42
Tungurahua,A,FROZEN FOODS,273.33
Tungurahua,A,HOME CARE,271.02
Pichincha,D,EGGS,262.81
El Oro,D,PERSONAL CARE,261.08
Pichincha,D,DELI,252.78
El Oro,C,DELI,249.33
Pichincha,C,POULTRY,238.72
Azuay,B,MEATS,238.46
Pichincha,D,FROZEN FOODS,233.39
Pichincha,B,HOME CARE,223.97
Pichincha,C,MEATS,219.94
Loja,D,FROZEN FOODS,213.81
El Oro,C,HOME CARE,212.12
Azuay,B,POULTRY,205.97
Loja,D,HOME CARE,205.3
Azuay,B,HOME CARE,204.31
Pichincha,C,PERSONAL CARE,204.09
El Oro,D,DELI,195.48
Pichincha,D,HOME CARE,192.79
Pichincha,A,"LIQUOR,WINE,BEER",192.27
Azuay,B,DELI,185.16
El Oro,D,FROZEN FOODS,185.03
Loja,D,MEATS,184.96
Pichincha,C,BREAD/BAKERY,183.34
